species_asw,family,order,rep_mode1
Gegeneophis_carnosus,Indotyphlidae,Gymnophiona,D
Gegeneophis_seshachari,Indotyphlidae,Gymnophiona,D
Gegeneophis_krishni,Indotyphlidae,Gymnophiona,D
Gegeneophis_ramaswamii,Indotyphlidae,Gymnophiona,D
Gegeneophis_danieli,Indotyphlidae,Gymnophiona,D
Gegeneophis_goaensis,Indotyphlidae,Gymnophiona,D
Gegeneophis_mhadeiensis,Indotyphlidae,Gymnophiona,D
Gegeneophis_madhavai,Indotyphlidae,Gymnophiona,D
Indotyphlus_battersbyi,Indotyphlidae,Gymnophiona,D
Indotyphlus_maharashtraensis,Indotyphlidae,Gymnophiona,D
Grandisonia_alternans,Indotyphlidae,Gymnophiona,S
Grandisonia_larvata,Indotyphlidae,Gymnophiona,S
Grandisonia_sechellensis,Indotyphlidae,Gymnophiona,S
Hypogeophis_brevis,Indotyphlidae,Gymnophiona,D
Hypogeophis_rostratus,Indotyphlidae,Gymnophiona,D
Praslinia_cooperi,Indotyphlidae,Gymnophiona,S
Dermophis_oaxacae,Dermophiidae,Gymnophiona,V
Dermophis_mexicanus,Dermophiidae,Gymnophiona,V
Dermophis_parviceps,Dermophiidae,Gymnophiona,V
Gymnopis_multiplicata,Dermophiidae,Gymnophiona,V
Schistometopum_thomense,Dermophiidae,Gymnophiona,V
Schistometopum_gregorii,Dermophiidae,Gymnophiona,V
Geotrypetes_seraphini,Dermophiidae,Gymnophiona,V
Siphonops_annulatus,Siphonopidae,Gymnophiona,D
Siphonops_paulensis,Siphonopidae,Gymnophiona,D
Siphonops_hardyi,Siphonopidae,Gymnophiona,D
Luetkenotyphlus_brasiliensis,Siphonopidae,Gymnophiona,D
Microcaecilia_unicolor,Siphonopidae,Gymnophiona,D
Microcaecilia_dermatophaga,Siphonopidae,Gymnophiona,D
Caecilia_tentaculata,Caeciliidae,Gymnophiona,D
Caecilia_gracilis,Caeciliidae,Gymnophiona,NA
Caecilia_volcani,Caeciliidae,Gymnophiona,D
Oscaecilia_ochrocephala,Caeciliidae,Gymnophiona,D
Typhlonectes_natans,Typhlonectidae,Gymnophiona,V
Typhlonectes_compressicauda,Typhlonectidae,Gymnophiona,V
Chthonerpeton_indistinctum,Typhlonectidae,Gymnophiona,V
Boulengerula_niedeni,Herpelidae,Gymnophiona,D
Boulengerula_taitana,Herpelidae,Gymnophiona,D
Boulengerula_uluguruensis,Herpelidae,Gymnophiona,D
Boulengerula_changamwensis,Herpelidae,Gymnophiona,D
Boulengerula_fischeri,Herpelidae,Gymnophiona,D
Boulengerula_boulengeri,Herpelidae,Gymnophiona,D
Herpele_squalostoma,Herpelidae,Gymnophiona,D
Chikila_fulleri,Chikilidae,Gymnophiona,D
Crotaphatrema_tchabalmbaboensis,Scolecomorphidae,Gymnophiona,D
Crotaphatrema_lamottei,Scolecomorphidae,Gymnophiona,D
Scolecomorphus_vittatus,Scolecomorphidae,Gymnophiona,V
Scolecomorphus_uluguruensis,Scolecomorphidae,Gymnophiona,V
Ichthyophis_larutensis,Ichthyophiidae,Gymnophiona,S
Ichthyophis_biangularis,Ichthyophiidae,Gymnophiona,S
Ichthyophis_bannanicus,Ichthyophiidae,Gymnophiona,S
Ichthyophis_asplenius,Ichthyophiidae,Gymnophiona,S
Ichthyophis_longicephalus,Ichthyophiidae,Gymnophiona,S
Ichthyophis_tricolor,Ichthyophiidae,Gymnophiona,S
Ichthyophis_orthoplicatus,Ichthyophiidae,Gymnophiona,S
Ichthyophis_glutinosus,Ichthyophiidae,Gymnophiona,S
Uraeotyphlus_gansi,Ichthyophiidae,Gymnophiona,S
Uraeotyphlus_narayani,Ichthyophiidae,Gymnophiona,S
Ichthyophis_bombayensis,Ichthyophiidae,Gymnophiona,S
Rhinatrema_bivittatum,Rhinatrematidae,Gymnophiona,S
Rhinatrema_shiv,Rhinatrematidae,Gymnophiona,S
Rhinatrema_nigrum,Rhinatrematidae,Gymnophiona,S
Epicrionops_marmoratus,Rhinatrematidae,Gymnophiona,S